episode,average_score,best_score,average_q_value
542,,-inf,0.07697814
543,,-inf,0.07736621
544,,-inf,0.0773724
545,,-inf,0.077345125
546,,-inf,0.07703805
547,,-inf,0.07739821
548,,-inf,0.07736524
549,,-inf,0.07731624
550,,-inf,0.0773628
551,,-inf,0.07747173
552,,-inf,0.07734896
553,,-inf,0.07708394
554,,-inf,0.07710163
555,,-inf,0.07736675
556,,-inf,0.077449016
557,,-inf,0.07773378
558,,-inf,0.07742282
559,,-inf,0.07762622
560,,-inf,0.0755791
561,,-inf,0.07553071
562,,-inf,0.07653665
563,,-inf,0.07484415
564,,-inf,0.08003055
565,,-inf,0.08228691
566,,-inf,0.08356328
567,,-inf,0.084416784
568,,-inf,0.08457809
569,,-inf,0.08515999
570,,-inf,0.084946536
571,,-inf,0.08464209
572,,-inf,0.08499862
573,,-inf,0.08544917
574,,-inf,0.085716315
575,,-inf,0.08579217
576,,-inf,0.086364284
577,,-inf,0.086239524
578,,-inf,0.085948855
579,,-inf,0.08557022
580,,-inf,0.08572478
581,,-inf,0.0858618
582,,-inf,0.085933596
583,,-inf,0.0844142
584,,-inf,0.085642114
585,,-inf,0.08631948
586,,-inf,0.08615275
587,,-inf,0.08636342
588,,-inf,0.0862317
589,,-inf,0.086523004
590,,-inf,0.08666482
591,,-inf,0.08594259
592,,-inf,0.084075555
593,,-inf,0.084835075
594,,-inf,0.08516838
595,,-inf,0.08785288
596,,-inf,0.090194665
597,,-inf,0.09179865
598,,-inf,0.09255676
599,,-inf,0.092830464
600,,-inf,0.09308152
601,,-inf,0.09348279
602,,-inf,0.09390196
603,,-inf,0.09433097
604,,-inf,0.09472278
605,,-inf,0.09465314
606,,-inf,0.09487039
607,,-inf,0.094908275
608,,-inf,0.09505605
609,,-inf,0.09501732
610,,-inf,0.09545627
611,,-inf,0.09263997
612,,-inf,0.09433061
613,,-inf,0.09240848
614,,-inf,0.09048578
615,,-inf,0.09324783
616,,-inf,0.09379022
617,,-inf,0.0936715
618,,-inf,0.09385621
619,,-inf,0.09490576
620,,-inf,0.09509923
621,,-inf,0.09495041
622,,-inf,0.09469517
623,,-inf,0.0948432
624,,-inf,0.09513247
625,,-inf,0.0950347
626,,-inf,0.093781434
627,,-inf,0.099257246
628,,-inf,0.09954559
629,,-inf,0.10012387
630,,-inf,0.10049928
631,,-inf,0.10182373
632,,-inf,0.101780266
633,,-inf,0.10166672
634,,-inf,0.101565614
635,,-inf,0.10149205
636,,-inf,0.101932086
637,,-inf,0.101697624
638,,-inf,0.101622686
639,,-inf,0.10135677
640,,-inf,0.10160398
641,,-inf,0.102189295
642,,-inf,0.10206597
643,,-inf,0.1023143
644,,-inf,0.102465086
645,,-inf,0.10236282
646,,-inf,0.10232558
647,,-inf,0.1023881
648,,-inf,0.10258519
649,,-inf,0.10254093
650,,-inf,0.10225502
651,,-inf,0.1020249
652,,-inf,0.102231644
653,,-inf,0.10238763
654,,-inf,0.1025143
655,,-inf,0.10254818
656,,-inf,0.102646045
657,,-inf,0.10268681
658,0.0,0.0,0.10909306
659,0.0,0.0,0.107564434
660,0.0,0.0,0.11032378
661,0.0,0.0,0.11204586
662,0.0,0.0,0.11258205
663,0.0,0.0,0.11330139
664,0.0,0.0,0.113706246
665,0.0,0.0,0.11383264
666,0.0,0.0,0.113808945
667,0.0,0.0,0.11395723
668,0.0,0.0,0.11454514
669,0.0,0.0,0.1148684
670,0.0,0.0,0.1153601
671,0.0,0.0,0.115219794
672,0.0,0.0,0.115410514
673,0.0,0.0,0.11546934
674,0.0,0.0,0.11564326
675,0.0,0.0,0.11574447
676,0.0,0.0,0.11557336
677,0.0,0.0,0.114844665
678,0.0,0.0,0.11496998
679,0.0,0.0,0.11512791
680,0.0,0.0,0.11145144
681,0.0,0.0,0.11076323
682,0.0,0.0,0.10979026
683,0.0,0.0,0.109165885
684,0.0,0.0,0.109021515
685,0.0,0.0,0.10773758
686,0.0,0.0,0.10732646
687,0.0,0.0,0.11067708
688,0.0,0.0,0.11209393
689,0.0,0.0,0.113322034
690,0.0,0.0,0.114619605
691,0.0,0.0,0.11565534
692,0.0,0.0,0.11620298
693,0.0,0.0,0.11624247
694,0.0,0.0,0.11640549
695,0.0,0.0,0.116282806
696,0.0,0.0,0.11630237
697,0.0,0.0,0.11648595
698,0.0,0.0,0.116929024
699,0.0,0.0,0.116876416
700,0.0,0.0,0.116782114
701,0.0,0.0,0.11655349
702,0.0,0.0,0.116300486
703,0.0,0.0,0.116620034
704,0.0,0.0,0.11689634
705,0.0,0.0,0.1166287
706,0.0,0.0,0.11645377
